elvenavn,nedborfeltVassdragNr,nivaa,elvelengde,vassdragsomrade,fluvial_length,fluvial_n,glacial_length,glacial_n,fluvial_perc,glacial_perc,centroid_x,centroid_y,i,fylke1,fylke1_km,fylke2,fylke2_km,fylke3,fylke3_km
Cabardasjåkka,212.GZ,2a,101520.3619484,212,NA,NA,2403.71482946793,1,NA,2.4,22.82069117919017,69.28006745067391,151,Finnmark,101,-,0,-,0
Suoppatjohka,212.HZ,2a,84906.77429508,212,NA,NA,3457.20466155026,1,NA,4.1,23.380567390361815,68.81499504489204,152,Finnmark,85,-,0,-,0
Adjetjohka,212.J1Z,3a,17170.57789153,212,NA,NA,3887.73823644315,1,NA,22.6,22.85649761192755,68.96322611662674,153,Finnmark,17,-,0,-,0
Geatkejohka,212.J2Z,3a,7023.4187316,212,NA,NA,885.328715772354,1,NA,12.6,22.93918163078519,68.9270286881118,154,Finnmark,7,-,0,-,0
Roggejohka,212.JZ,2a,29934.42864124,212,NA,NA,4858.53079099427,1,NA,16.2,22.911473819183453,68.80516422057408,155,Finnmark,30,-,0,-,0
Favrusjåkka,212.K2Z,3a,23789.66039409,212,NA,NA,112.397580322611,1,NA,0.5,22.759192793781505,68.78778132641754,156,Finnmark,22,-,0,-,0
Bizejåkka,212.K4Z,3a,27522.08183577,212,NA,NA,131.244896385565,1,NA,0.5,22.61487870210518,68.79644749911571,157,Finnmark,27,-,0,-,0
Lup'pujåkka,212.KZ,2a,16078.94451425,212,NA,NA,1638.88741180618,1,NA,10.2,22.501041260925707,68.91983008553208,158,Finnmark,16,-,0,-,0
Balgesjåkka,212.L2Z,3a,16855.63180023,212,NA,NA,396.102348994232,1,NA,2.3,22.48235919212861,68.79220617176458,159,Finnmark,16,-,0,-,0
Altavassdraget,212.Z,1a,242033.12975734,212,22511.7475330275,1,74486.345286105,6,9.3,30.8,23.15451542015649,69.28981091310669,160,Finnmark,241,-,0,-,0
Madarjåkka,223.A1Z,3a,19716.51237513,223,3009.44473199475,1,NA,NA,15.3,NA,24.703658974907874,70.17362009948693,161,Finnmark,20,-,0,-,0
Dil'ljåkka,223.AZ,2a,23942.12406217,223,2209.23672243579,1,112.913380715948,1,9.2,0.5,24.673598999395505,70.06750856204296,162,Finnmark,24,-,0,-,0
Stabburselva,223.Z,1a,95413.02131727,223,11871.842514968,1,NA,NA,12.4,NA,24.366881203252543,69.99831496251747,163,Finnmark,95,-,0,-,0
Brennelva,224.2Z,2a,35380.93,224,4218.18831199294,1,NA,NA,11.9,NA,25.215952162017423,69.97561069231283,164,Finnmark,35,-,0,-,0
Vuoddujåkka,224.AZ,2a,25881.83,224,NA,NA,238.960878977957,1,NA,0.9,24.744235821309125,69.96541236269864,165,Finnmark,26,-,0,-,0
Vuolajåkka,224.CZ,2a,39313.63,224,NA,NA,4734.73273456117,1,NA,12,24.770708114456657,69.8366731323771,166,Finnmark,39,-,0,-,0
Lakselvvassdraget,224.Z,1a,103076.26,224,16023.7290271813,1,6871.31626583219,1,15.5,6.7,25.245192722061603,69.90830656844429,167,Finnmark,103,-,0,-,0
Tverrelva,225.A1Z,3a,22344.8,225,1677.44719197543,1,NA,NA,7.5,NA,25.63477318405689,70.24456834465018,168,Finnmark,22,-,0,-,0
Silfarjåkka,225.A3Z,3a,15957.39,225,1245.91545191441,1,1456.93248818473,1,7.8,9.1,25.68996752210324,70.30220935652517,169,Finnmark,16,-,0,-,0
Ai'legasjåkka,225.A6Z,3a,16737.6,225,1490.7829349933,1,4831.30230953326,1,8.9,28.9,25.761877313913036,70.41498783707682,170,Finnmark,17,-,0,-,0
Sied'gajåkka,225.AAZ,3a,9377.87,225,NA,NA,1527.32367015605,1,NA,16.3,26.006763923288236,70.44237267127276,171,Finnmark,9,-,0,-,0
Viek'sajåkka,225.AZ,2a,39276.35,225,NA,NA,8638.52590396674,2,NA,22,25.919072187712956,70.43404388250902,172,Finnmark,39,-,0,-,0
Børselvvassdraget,225.Z,1a,74480.43,225,12497.0863846166,1,290.932931656478,1,16.8,0.4,25.760675377294806,70.19441136234539,173,Finnmark,74,-,0,-,0
Ivvangådiidjåkka,226.2Z,2a,12428.93769955,226,NA,NA,3271.24664868795,2,NA,26.3,25.829990969078523,70.49287534655531,174,Finnmark,12,-,0,-,0
Dållajåkka,229.DZ,2a,20974.25531294,229,NA,NA,2302.42151311209,1,NA,11,27.095327415925667,70.30357286168153,175,Finnmark,21,-,0,-,0
Gaisavuolesjåkka,229.AAZ,3a,29752.64703226,229,NA,NA,21299.1976234438,1,NA,71.6,26.786321986771426,70.1710283588725,176,Finnmark,30,-,0,-,0
Adamselvvassdraget,229.Z,1a,64664.17306038,229,NA,NA,5475.03069706438,1,NA,8.5,27.018597396373018,70.29385896214869,177,Finnmark,64,-,0,-,0
Hanajåkka,234.5AZ,3a,20435.68045577,234,11912.7841853523,1,NA,NA,58.3,NA,28.468465708112014,70.38141383848291,178,Finnmark,20,-,0,-,0
Basavzejåkka,234.5BZ,3a,20682.09812665,234,515.036206683601,1,NA,NA,2.5,NA,28.66793052975205,70.3671146083207,179,Finnmark,21,-,0,-,0
Julelva,234.5Z,2a,39140.15790062,234,7284.05331612172,1,NA,NA,18.6,NA,28.80743781235201,70.45678522951088,180,Finnmark,39,-,0,-,0
Cammajåkka,234.6Z,2a,15868.05622585,234,773.123570524748,1,NA,NA,4.9,NA,28.647586131765614,70.48637561643675,181,Finnmark,16,-,0,-,0
Har'rejåkka,234.A2Z,3a,18811.96617957,234,4698.8312773298,1,NA,NA,25,NA,28.32364062877455,70.41902496340101,182,Finnmark,19,-,0,-,0
Gålgutjåkka,234.A3Z,3a,28521.3160246,234,9407.1624216351,1,NA,NA,33,NA,28.055322905673496,70.32174031158185,183,Finnmark,28,-,0,-,0
Cii'kujåkka,234.AAZ,3a,36447.55324934,234,NA,NA,16166.3264895171,1,NA,44.4,27.670186038929675,70.15799548899915,184,Finnmark,36,-,0,-,0
Uv'jaladnja,234.ABZ,3a,35239.84351253,234,NA,NA,3518.03192469617,1,NA,10,27.601388728429292,70.23639484084241,185,Finnmark,35,-,0,-,0
Maskejåkka,234.AZ,2a,65303.28286475,234,16787.068935055,1,10849.9985754814,1,25.7,16.6,27.84362223110996,70.27140116678757,186,Finnmark,65,-,0,-,0
Luovtejåkka,234.B2Z,3a,51199.15815272,234,8540.52139202771,1,NA,NA,16.7,NA,28.472480112553292,70.24722083369426,187,Finnmark,51,-,0,-,0
Lismajåkka,234.B3Z,3a,14196.35893737,234,4125.21534111073,1,1413.87091971493,1,29.1,10,28.08429971496443,70.14216447982561,188,Finnmark,14,-,0,-,0
Ruossajåkka,234.B4Z,3a,20656.93693338,234,3052.4233165694,1,NA,NA,14.8,NA,28.252380924293533,70.1039927338506,189,Finnmark,21,-,0,-,0
Buol'bmatjåkka,234.BZ,2a,70006.9943721,234,9472.04470818477,1,NA,NA,13.5,NA,27.976559017932924,69.86025442539702,190,Finnmark,12,-,0,-,0
Garpejåkka,234.CAZ,3a,17640.455567600002,234,NA,NA,1552.77370476169,1,NA,8.8,27.354795679929698,70.17751772465482,191,Finnmark,18,-,0,-,0
Dævkehanjåkka,234.CBZ,3a,32820.67565804,234,NA,NA,10308.1538335676,2,NA,31.4,27.096965909846343,70.09079539176842,192,Finnmark,33,-,0,-,0
Bittusjåkka,234.CCZ,3a,21569.98634897,234,NA,NA,13576.6511381848,1,NA,62.9,27.096990397202358,70.12537890243014,193,Finnmark,21,-,0,-,0
Lak'sjåkka,234.CZ,2a,49878.54512494,234,NA,NA,10480.3456408489,2,NA,21,27.322144692492095,70.17260937446812,194,Finnmark,50,-,0,-,0
Gal'bajåkka,234.D1Z,3a,18381.14017958,234,NA,NA,9992.28332222466,1,NA,54.4,27.221999651527195,70.02307621675018,195,Finnmark,18,-,0,-,0
Levsejåkka,234.E1Z,3a,20258.67169658,234,NA,NA,2294.04421864236,1,NA,11.3,27.031709959886562,69.98177845531859,196,Finnmark,20,-,0,-,0
Bår'sejåkka,234.F1Z,3a,31362.75784669,234,NA,NA,389.081658676444,1,NA,1.2,26.534847782653777,70.02366171209736,197,Finnmark,31,-,0,-,0
Lævvajåkka,234.F3Z,3a,35944.64542003,234,NA,NA,1594.25411155362,1,NA,4.4,26.105643440043487,69.91093036345016,198,Finnmark,36,-,0,-,0
Gæimejåkka,234.GAZ,3a,48193.87656204,234,1665.67618357987,1,NA,NA,3.5,NA,25.067032708502225,69.54598333947993,199,Finnmark,48,-,0,-,0
Iesjåkka,234.GBZ,3a,130493.38754413,234,NA,NA,23506.8293084193,1,NA,18,24.48258014481458,69.5487501361118,200,Finnmark,130,-,0,-,0
Nieidajåkka,234.GFZ,3a,28162.67413783,234,NA,NA,11162.4384459996,1,NA,39.6,24.15290189306898,68.8873477468437,201,Finnmark,28,-,0,-,0
Karasjåkka,234.GZ,2a,172583.69634106,234,30329.6840066772,1,21069.2072295631,2,17.6,12.2,24.73944171238289,69.16212947456421,202,Finnmark,168,-,0,-,0
Gamehisjåkka,234.H1Z,3a,17744.76126828,234,434.124923534164,1,NA,NA,2.4,NA,25.652113773287407,69.38181045281088,203,Finnmark,18,-,0,-,0
Cas'kinjåkka,234.J3Z,3a,31594.98218092,234,NA,NA,2020.598053936,1,NA,6.4,25.448897244308323,68.9602459758808,204,Finnmark,30,-,0,-,0
Njuolasjåkka,234.JAZ,3a,29187.89739588,234,NA,NA,5032.044861299,1,NA,17.2,24.93567325178029,68.63439954218335,205,Finnmark,28,-,0,-,0
Skieccanjåkka,234.JZ,2a,58182.21489393,234,NA,NA,2847.23953208557,1,NA,4.9,25.135222286124215,68.70522586148364,206,Finnmark,26,-,0,-,0
Hævvujåkka,234.KZ,2a,18440.6383786,234,NA,NA,2504.86940579324,1,NA,13.6,24.89506985734683,68.69250054446965,207,Finnmark,18,-,0,-,0
Tana,234.Z,1a,368827.10571317,234,62948.3450573649,4,19616.2297217022,3,17.1,5.3,26.322701341829397,69.55542077428842,208,Finnmark,244,-,0,-,0
Hammarneselva,241.2Z,2a,16640.12744328,241,1571.04811594615,1,NA,NA,9.4,NA,29.047611320671606,70.16695563298077,209,Finnmark,17,-,0,-,0
Nyborgelva,241.4Z,2a,13753.64354425,241,1749.09033044241,1,NA,NA,12.7,NA,28.464323310693175,70.17797356297524,210,Finnmark,14,-,0,-,0
Vesterelva,241.5Z,2a,46807.5095952,241,9963.5674475438,1,8457.50685469022,1,21.3,18.1,28.427790443124426,70.05689449722324,211,Finnmark,47,-,0,-,0
Bergebyelva,241.Z,1a,38248.39229391,241,867.973633067009,1,NA,NA,2.3,NA,29.0725929730418,70.26300291193188,212,Finnmark,38,-,0,-,0
Neidenvassdraget,244.Z,1a,149226.05686731,244,NA,NA,22194.0555537634,1,NA,14.9,28.312221653223965,69.58255603940589,213,Finnmark,27,-,0,-,0
Sametielva,246.CZ,2a,42643.58921104,246,NA,NA,4613.34665970749,1,NA,10.8,29.726886029477416,69.49204746414495,214,Finnmark,42,-,0,-,0
Skjellbekken,246.E3Z,3a,22309.75432284,246,NA,NA,3979.63344656837,1,NA,17.8,29.436343695138234,69.37407754443215,215,Finnmark,22,-,0,-,0
Pasvikelva,246.Z,1a,385333.78149348,246,NA,NA,4705.40901443036,1,NA,1.2,27.656821399699336,68.82120143446109,216,Finnmark,50,-,0,-,0
Tangåa,310.1BZ,3a,29663.13856115,310,NA,NA,263.879188599911,1,NA,0.9,12.808434991456785,61.44903856244704,117,Innlandet,7,-,0,-,0
Drevja,310.1DZ,3a,45316.52333301,310,NA,NA,3953.1397426892,1,NA,8.7,12.411353389028253,61.51515752480304,118,Innlandet,36,-,0,-,0
Bergåa,310.1EZ,3a,20457.84525794,310,NA,NA,1388.58138139507,1,NA,6.8,12.621654650780231,61.52826413458758,119,Innlandet,11,-,0,-,0
Västerdalälven-Ljøra,310.1Z,2a,91217.64965573,310,NA,NA,21179.6576730627,1,NA,23.2,12.718989415842739,61.41107209880708,120,Innlandet,50,-,0,-,0
Dalälven,310.Z,1a,159592.4149394,310,NA,NA,3345.51741343598,1,NA,2.1,12.815610035379079,61.73361860325954,121,Innlandet,30,-,0,-,0
Lutua,311.A5Z,3a,26923.74638608,311,NA,NA,3759.82890071009,1,NA,14,12.749056603256378,61.04936649241604,122,Innlandet,6,-,0,-,0
Grøna,311.AZ,2a,50613.424939,311,NA,NA,1828.40468443636,1,NA,3.6,12.509978755734736,61.24349333296516,123,Innlandet,50,-,0,-,0
Kolåa,311.B3Z,3a,17495.55067993,311,NA,NA,141.906822595123,1,NA,0.8,12.392067893248942,61.244379729724756,124,Innlandet,17,-,0,-,0
Trørøsta,311.B4Z,3a,11955.51837795,311,256.305900317695,1,NA,NA,2.1,NA,12.211316592348656,61.278871024588646,125,Innlandet,12,-,0,-,0
Storflena,311.BZ,2a,36044.67529156,311,1211.95635984657,1,NA,NA,3.4,NA,12.242426314138541,61.49485675991669,126,Innlandet,36,-,0,-,0
Elta,311.CZ,2a,43088.77542,311,8280.17619562321,1,NA,NA,19.2,NA,11.970136165958213,61.46146973377629,127,Innlandet,43,-,0,-,0
Engera,311.DZ,2a,48533.71446969,311,182.56099666074,1,NA,NA,0.4,NA,11.972008061411584,61.70530276309896,128,Innlandet,48,-,0,-,0
Snerta,311.E5Z,3a,12936.97022834,311,667.672942524612,1,NA,NA,5.2,NA,11.791433232446545,61.7256070413616,129,Innlandet,13,-,0,-,0
Sømåa,311.GZ,2a,82354.60878745,311,NA,NA,23826.8252361226,1,NA,28.9,11.496774412933915,62.18350572411574,130,Innlandet,82,-,0,-,0
Elgåa,311.J3Z,3a,16298.14345049,311,NA,NA,9570.81457820492,1,NA,58.7,11.975054628070241,62.128448386478844,131,Innlandet,16,-,0,-,0
Tufsinga,311.J4Z,3a,53629.81139699,311,NA,NA,9393.444979448,1,NA,17.5,11.68422887091208,62.31253099136214,132,Innlandet,38,Trøndelag,15,-,0
Trysilelva,311.Z,1a,256685.49293954,311,50887.3017344074,2,19057.4418832711,1,19.8,7.4,12.108609394737455,61.75785605452273,133,Innlandet,203,Trøndelag,7,-,0
Kjerkesåa,312.AEZ,3a,12189.85228893,312,NA,NA,613.602502874281,1,NA,5,12.514931316199243,60.351529057825346,134,Innlandet,8,-,0,-,0
Rotna,312.AZ,2a,126633.1972645,312,NA,NA,37444.758341489,1,NA,29.6,12.681298757565434,60.177793963198056,135,Innlandet,47,-,0,-,0
Vrangselva,313.B1Z,3a,70981.06717086,313,15016.0442890787,1,NA,NA,21.2,NA,12.16713377416925,59.98802157387133,136,Innlandet,46,-,0,-,0
